Brand,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
Hondacity,12,0,1500,0,0,7,33000,2150000
Hondacity,12,0,1600,0,0,6,40000,2150000
Hondacity,12,0,1495,0,0,9,38000,2150000
Hondacity,9,0,1600,0,0,9,41000,2600000
Hondacity,16,0,1500,0,0,5,55000,1425000
Hondabrio,9,0,1200,0,0,10,20000,1750000
Hondacity,16,0,1500,0,0,5,45000,1475000
Hondacity,15,0,1500,0,0,8,47900,1700000
Hondabrio,9,0,1197,0,0,10,27000,1800000
Hondacity,7,0,1500,0,0,11,20000,3100000
Hondabrio,9,0,1200,0,0,9,15000,1750000
Hondacr-v,12,1,2000,1,0,7,39000,4900000
Hondacivic,19,0,1500,0,0,4,72000,1325000
Hondacity,11,0,1497,0,0,7,32100,2550000
Hondacity,7,0,1498,0,0,12,7231,3400000
Hondacity,14,0,1500,0,0,6,30000,2000000
Hondacity,15,0,1500,0,0,2,50000,1450000
Hondacity,17,0,1500,0,0,5,36000,1200000
Hondacity,10,0,1500,0,0,8,12800,3150000
Hondacity,16,0,1500,0,0,5,45000,1400000
Hondacity,13,0,1500,0,0,6,37000,1800000
Hondacity,8,0,1500,0,0,10,35000,3000000
Hondacity,16,0,1487,0,0,2,31000,1425000
Hondacity,12,1,1200,0,0,7,35000,2650000
Hondacrv,14,0,1977,1,0,6,38300,4800000
Hyundaiaccent,13,0,1400,0,0,8,95000,1350000
Hyundaii10,5,0,1200,0,0,16,28000,2200000
Hyundaisantro,8,0,1200,0,0,11,45000,1450000
Hyundaii20,5,0,1200,0,0,15,30000,29550000
Hyundaii10,5,0,1200,0,0,16,29000,2150000
Hyundaisantro,7,0,1000,0,0,11,62000,1700000
Hyundaisantro,13,0,1000,0,0,1,40000,950000
Hyundaii10,10,0,1200,0,0,9,40000,1750000
Hyundaii20,11,0,1200,0,0,7,40000,1250000
Hyundaisantro,12,0,1100,0,0,7,45000,1125000
Hyundaigetz,14,0,1400,0,0,5,80000,1050000
Hyundaii20,5,0,1200,0,0,15,31000,2950000
Hyundaii10,11,0,1100,0,0,8,41000,1450000
Hyundaisantro,14,0,1000,0,0,6,70000,1150000
Hyundaii10,12,0,1200,0,0,7,50000,1350000
Hyundaii10,18,0,1100,0,0,5,47000,600000
Hyundaii10,8,0,1200,0,0,22,37000,1850000
Hyundaiaccent,12,0,1400,0,0,8,75000,1720000
Hyundaii10,11,0,1200,0,0,8,50000,1475000
Hyundaii20,6,0,1200,0,0,16,30000,2775000
Hyundaii10,12,0,1100,0,0,7,50000,1215000
Hyundaii20,12,0,1200,0,0,7,45000,1425000
Hyundaii10,12,0,1200,0,0,7,45000,1325000
Hyundaii20,5,0,1200,0,0,15,29000,2950000
Hyundaiasta,7,0,1200,0,0,12,38000,2175000
Hyundaii10,7,0,1200,0,0,12,36000,1875000
Hyundaii20,7,0,1200,0,0,14,39000,2050000
Hyundaii20,6,0,1200,0,0,14,28000,2800000
Hyundaiasta,11,0,1200,0,0,8,45000,1600000
Hyundaitucson,15,0,2000,0,1,5,82000,1950000
Hyundaii10,9,0,1200,0,0,10,41000,1575000
Hyundaii10,12,0,1200,0,0,7,52000,1250000
Hyundaii10,5,0,1200,0,0,15,25000,1950000
Hyundaii20,6,0,1200,0,0,15,40000,2250000
Hyundaieon,8,0,800,0,0,11,31000,1225000
Hyundaicreta,5,0,1600,0,0,16,38000,4150000
Hyundaii20,3,0,1200,0,0,19,9900,2975000
Hyundaisantro,12,0,1100,0,0,21,60000,1050000
Hyundaii20,5,0,1200,0,0,15,25000,3000000
Hyundaiasta,4,0,1200,0,0,17,15000,3100000
Hyundaisantro,8,0,1100,0,0,10,38600,1450000
Hyundaii20,5,0,1200,0,0,16,34000,3000000
Hyundaitucson,10,0,2000,1,0,9,59000,3700000
Hyundaicreta,5,0,1400,0,0,16,20000,3700000
Hyundaii10,7,0,1200,0,0,12,27000,1850000
Hyundaii10,7,0,1200,0,0,12,27000,1850000
Hyundaicreta,3,0,1600,0,0,19,11000,4000000
Hyundaii10,7,0,1200,0,0,12,27000,1900000
Hyundaiasta,8,0,1200,0,0,11,43000,2100000
Hyundaisantro,14,0,1100,0,0,5,65000,1000000
Hyundaii10,12,0,1200,0,0,1,45000,1200000
